"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
15/01/2024;-;"2,880 %";19/12/2023
19/02/2024;-;"2,950 %";19/12/2023
18/03/2024;-;"2,970 %";19/12/2023
15/04/2024;-;"2,960 %";19/12/2023
17/06/2024;-;"3,000 %";19/12/2023
15/07/2024;-;"2,990 %";15/12/2023
18/08/2025;-;"3,210 %";15/12/2023
17/04/2028;-;"3,520 %";19/12/2023
17/06/2030;-;"3,650 %";15/12/2023
20/06/2033;-;"3,900 %";15/12/2023
19/07/2038;-;"4,250 %";15/12/2023
14/03/2039;-;"4,360 %";19/12/2023
17/08/2043;-;"4,730 %";19/12/2023
16/02/2054;-;"5,250 %";19/12/2023
Total;0,00;;
